_id;Sr No.;Year;Region;Sub Region;Motor Cycles;Scooters;Moped;Cars;Jeeps;Stn. Wagons;Taxis meter fited;Luxury /Turist Cabs/;Auto-rikshaws;Stage carriages;Contract carriages /Mini Bus;School Buses;Private Service Vehicles;Ambulances;Articulated/Multi.;Trucks & Lorries;Tanker;Delivery Van (4 wheelers);Delivery Van (3 wheelers);Tractors;Trailors;Others
779;779;2015-2016;Aurangabad Region;Aurangabad;735794;84168;46939;55123;29314;452;21;2596;26529;5614;1375;1008;1989;490;0;13119;4712;24888;29960;23285;14689;379
780;780;2015-2016;Aurangabad Region;Jalna;200211;12172;12279;9916;6188;128;596;140;6437;242;27;212;7;117;5;2991;261;3306;6436;13642;7169;476
781;781;2015-2016;Aurangabad Region;Beed;137379;13814;18493;8158;16244;1;0;138;8070;440;201;41;30;17;23;4193;166;5337;9452;8777;5553;29
782;782;2015-2016;Latur Region;Latur;211258;27829;39031;27234;13067;129;363;968;11819;10;575;454;62;89;33;7562;205;9872;7337;12242;6823;440
783;783;2015-2016;Latur Region;Osmanabad;127228;11187;4941;10459;5711;54;0;1241;4763;307;22;178;7;64;0;5184;175;5669;3201;12095;5265;436
784;784;2015-2016;Latur Region;Ambejogai;69812;4477;3524;5246;3231;0;54;321;3185;0;14;105;4;24;206;2483;215;2196;3269;4243;2134;136
785;785;2015-2016;Nanded Region;Nanded;305814;16925;29160;21066;9334;58;0;1984;24996;433;429;361;57;170;2;14768;358;8302;9345;6919;4725;225
786;786;2015-2016;Nanded Region;Parbhani;173780;5554;12183;12373;9596;18;313;215;13256;0;123;75;8;138;25;5181;218;3382;6761;8349;3586;348
787;787;2015-2016;Nanded Region;Hingoli;85075;4841;6681;5694;3940;0;150;1143;3880;96;139;32;24;53;0;1735;70;2767;1045;6824;3582;51
788;788;2015-2016;Amrawati Region;Amrawati;334125;80049;77503;37565;5615;363;44;1559;16109;536;408;382;139;301;8;8294;238;7787;4239;14336;8788;536
789;789;2015-2016;Amrawati Region;Buldhana;212175;22868;28439;11362;6195;186;158;1660;14551;442;99;300;54;170;0;3034;60;5071;4857;19716;10832;178
790;790;2015-2016;Amrawati Region;Yawatmal;198747;48910;51705;16454;6107;41;36;1445;13430;395;375;279;103;111;330;4906;119;5912;3342;9510;6284;42
791;791;2015-2016;Amrawati Region;Akola;182821;69685;32703;20382;4342;8;48;1963;13802;463;223;173;42;165;6;4823;155;5622;2849;10742;7064;440
792;792;2015-2016;Amrawati Region;Washim;100437;20255;17398;5519;3601;2;4;512;7890;1;59;67;3;66;2;1391;38;2752;1343;10095;6376;53
793;793;2015-2016;Nagpur(U) Region;Nagpur;462770;327913;282745;108810;31185;842;9;3503;8437;1739;927;902;1317;630;936;12130;2556;15214;7244;5459;5403;1249
794;794;2015-2016;Nagpur(U) Region;Wardha;122058;17197;43446;10204;3450;62;0;340;4850;240;120;302;44;73;169;1636;40;3530;2998;7420;3102;452
795;795;2015-2016;Nagpur(U) Region;Nagpur(East);131941;16640;682;17874;5593;0;4;891;6467;0;184;853;17;104;315;3443;118;4873;3154;110;34;0
796;796;2015-2016;Nagpur(R) Region;Nagpur;229302;62461;28904;21450;11651;33;0;1249;4909;2744;419;1160;308;194;1050;9552;130;9861;1989;10818;3288;1107
797;797;2015-2016;Nagpur(R) Region;Gadchiroli;71890;16362;1952;3959;1929;1;0;425;569;4;38;61;40;162;4;442;23;1535;141;5895;3368;96
798;798;2015-2016;Nagpur(R) Region;Chandrapur;230585;72388;56982;24717;7441;58;136;906;7351;358;235;395;115;368;1219;9038;240;7080;2265;11447;6672;775
799;799;2015-2016;Nagpur(R) Region;Gondia;143987;23811;18364;8499;3790;0;0;338;839;7;179;223;69;92;4;1768;134;2754;399;7050;4863;190
